종가_등락률,거래량_등락률,고가-종가_비율,종가-저가_비율,연속상승,연속하락,RSI,target
4.35,24.02,0.0,3.17,0,0,40.26,1
-0.86,38.98,1.2,0.17,0,1,31.0,1
-0.17,16.12,1.02,0.0,0,1,31.68,0
-1.19,-28.42,1.02,0.0,0,0,33.67,0
0.17,-14.97,1.34,0.17,1,0,37.5,0
0.86,-28.06,1.01,0.85,1,0,34.0,1
3.19,26.77,0.85,3.26,0,0,32.69,1
-1.4,18.32,1.57,0.0,0,0,28.1,1
0.18,-20.16,1.72,0.0,1,0,34.15,0
1.6,-28.72,0.52,2.45,0,0,32.79,1
-1.4,32.07,2.26,0.53,0,1,27.78,1
-1.72,28.87,1.04,0.0,0,1,35.54,0
-2.36,8.39,1.36,0.0,0,0,38.58,0
1.02,-25.28,0.17,1.18,1,0,40.46,0
0.68,-22.08,1.84,0.85,1,0,44.92,1
1.74,-17.93,1.18,1.2,0,0,54.64,1
-0.35,21.44,1.03,1.05,0,1,47.06,1
-1.54,-7.21,2.54,0.0,0,1,47.57,0
-0.34,-26.28,1.18,0.51,0,1,48.57,0
-1.84,17.41,2.0,1.02,0,1,50.0,0
-1.81,24.19,0.17,0.67,0,0,57.14,0
0.33,-12.74,1.46,0.66,0,0,71.43,0
-1.94,8.96,1.3,0.82,0,1,67.68,1
-0.32,11.05,0.48,1.29,0,1,71.82,0
-2.66,-0.16,1.11,0.0,0,1,78.64,0
-2.15,-13.95,0.93,0.0,0,1,80.36,0
-0.15,106.6,0.0,1.07,0,1,81.03,0
-0.31,-35.51,0.61,0.0,0,1,78.64,0
-1.95,135.39,1.36,0.15,0,0,83.84,0
0.15,-45.03,0.74,0.0,0,0,88.89,0
-1.04,-38.6,0.45,0.45,0,1,96.97,1
-0.44,70.92,0.15,1.04,0,0,97.12,0
1.8,24.99,0.15,1.18,1,0,96.94,0
0.91,-28.59,0.6,0.45,0,0,86.11,1
-0.75,5.42,1.93,0.61,0,1,79.61,1
-0.15,-2.14,1.04,0.75,0,1,78.35,0
-2.06,13.14,1.77,0.0,0,1,80.21,0
-0.15,13.0,1.31,0.44,0,0,80.61,0
0.74,-29.07,0.58,0.44,0,0,80.41,0
-0.88,3.56,0.15,1.48,0,0,71.76,1
0.74,5.14,0.87,0.73,1,0,68.83,0
1.96,31.35,0.44,1.48,0,0,64.2,1
-0.3,-17.96,1.63,0.3,0,0,54.35,1
2.47,-11.35,0.3,1.95,0,0,48.15,0
-1.22,33.11,0.92,0.0,0,0,40.62,1
0.0,-28.46,0.9,0.76,0,0,41.24,0
-0.61,45.34,0.9,0.61,0,1,39.36,0
-0.6,-17.4,1.2,0.0,0,1,47.67,0
-2.06,24.78,0.89,0.0,0,0,53.57,0
0.59,-18.8,0.73,0.59,1,0,58.06,0
0.3,0.44,1.32,0.3,0,0,55.21,1
-0.15,-46.14,0.44,1.19,0,0,46.43,1
4.01,55.01,0.3,3.56,0,0,46.43,0
-0.31,-6.77,1.07,0.46,0,1,37.14,1
-1.66,39.97,0.76,0.15,0,1,34.65,0
-0.3,17.52,0.9,0.0,0,1,42.99,0
-1.04,-6.57,0.6,0.0,0,1,50.0,0
-1.03,-8.22,0.45,0.45,0,0,52.48,0
0.45,-23.04,0.88,0.3,1,0,65.22,0
0.15,28.81,0.0,1.34,1,0,59.77,1
0.9,28.07,1.03,0.45,1,0,59.09,1
0.15,-23.2,0.6,0.9,0,0,53.33,1
-1.33,-19.7,1.04,0.15,0,1,50.57,1
-1.75,-5.58,1.75,0.0,0,0,47.56,0
2.54,24.81,0.43,2.18,0,0,56.67,0
-1.33,13.54,1.03,0.0,0,0,48.57,1
0.15,-20.64,0.29,0.74,0,0,52.21,0
-0.29,-25.29,0.73,0.15,0,1,67.05,1
-0.73,33.29,0.73,0.0,0,1,67.05,0
-1.01,83.26,0.44,0.0,0,1,64.63,0
-0.14,-23.77,0.57,0.14,0,0,66.67,0
0.29,-30.21,0.0,1.01,0,0,64.2,0
-0.72,27.23,0.58,0.14,0,1,59.21,1
-0.43,-1.26,0.85,0.0,0,1,64.1,0
-0.43,-7.42,0.85,0.14,0,0,66.25,0
0.72,8.45,0.14,0.57,0,0,72.73,0
-0.14,-2.82,0.29,0.72,0,0,69.14,1
0.0,-65.78,0.57,0.29,0,0,65.75,0
-0.99,206.04,0.71,0.29,0,0,59.02,0
0.28,31.86,0.98,0.28,1,0,84.31,0
0.57,-15.81,0.28,0.57,0,0,77.27,1
-1.13,-22.49,1.55,0.0,0,1,72.34,1
-0.7,-18.34,0.28,0.71,0,0,75.47,0
1.14,73.42,0.84,0.42,1,0,75.47,0
1.29,-0.81,0.14,0.99,0,0,61.11,1
-1.0,13.47,0.86,0.0,0,0,51.61,1
0.29,-42.73,0.0,0.85,0,0,58.21,0
-1.69,-25.39,0.99,0.43,0,0,53.12,1
2.45,33.68,0.0,0.98,0,0,58.9,0
-0.86,-14.98,0.71,1.15,0,1,45.98,1
-1.96,38.83,0.71,0.29,0,1,52.27,0
-1.92,1.34,1.65,0.42,0,0,58.42,0
1.67,6.02,0.27,0.96,0,0,63.48,0
-0.55,-29.81,0.97,0.28,0,0,55.0,1
0.28,35.03,0.0,1.53,1,0,57.38,0
0.56,-16.44,0.96,0.0,0,0,58.33,1
-2.05,51.56,1.11,0.28,0,1,53.45,1
-0.54,-11.07,1.08,0.27,0,1,57.14,0
-1.08,11.47,0.0,0.82,0,1,62.3,0
-0.13,3.63,0.13,2.16,0,1,69.42,0
-0.93,-25.6,0.67,0.81,0,0,67.83,0
0.27,26.36,0.79,0.67,1,0,70.83,0
1.49,15.53,0.13,0.8,0,0,66.36,1
0.0,-33.39,0.67,0.81,0,0,70.19,1
-1.6,14.65,1.07,0.81,0,1,68.37,0
-0.66,-31.22,0.79,0.4,0,0,67.71,0
0.94,82.97,0.53,0.93,1,0,64.37,0
1.63,-17.36,0.0,0.94,1,0,68.29,1
0.68,-17.58,0.94,0.68,0,0,57.78,1
-1.35,11.87,0.82,0.82,0,0,55.91,1
0.95,-28.26,0.8,0.81,0,0,62.63,0
0.0,-16.95,2.14,0.0,0,0,51.65,1
2.81,-4.07,0.54,2.86,0,0,49.43,0
-2.73,71.65,3.65,0.0,0,1,35.35,1
-0.95,-26.96,1.48,0.27,0,1,45.76,0
-1.46,29.77,1.33,1.08,0,1,45.76,0
-0.66,-13.21,0.92,0.53,0,1,51.18,0
-1.18,62.49,0.26,1.19,0,0,57.85,0
0.26,-8.4,0.26,0.78,0,0,60.77,0
-0.91,10.48,0.78,0.26,0,1,55.83,1
-0.65,9.19,1.03,0.52,0,0,56.56,0
0.26,-12.99,0.39,0.77,0,0,61.67,0
-0.77,-27.31,1.02,0.26,0,1,67.27,1
-1.27,26.26,1.77,0.0,0,0,72.07,0
0.0,-16.8,0.88,0.38,0,0,72.07,0
1.15,32.91,0.13,1.14,0,0,76.92,0
-0.38,-34.4,0.13,1.15,0,0,70.8,1
1.82,17.26,0.13,1.15,0,0,86.46,0
-0.65,-49.23,0.9,0.39,0,1,70.0,1
-1.65,104.96,2.03,1.29,0,0,69.32,0
0.13,-7.96,0.63,0.51,1,0,70.0,0
0.38,-5.16,1.5,0.51,0,0,67.44,1
-0.63,-28.08,1.51,0.26,0,1,61.25,1
-1.87,8.61,1.75,0.38,0,0,65.06,0
0.12,69.02,0.12,0.75,0,0,68.13,0
-0.37,-10.78,0.5,0.5,0,0,65.52,1
0.75,-10.98,0.37,0.37,1,0,68.18,0
0.63,-20.63,0.12,0.75,1,0,61.36,1
1.66,20.08,0.0,0.76,1,0,53.01,1
1.3,26.46,0.26,0.77,0,0,45.83,1
-1.15,-14.07,0.9,0.39,0,0,45.36,1
0.26,9.27,0.0,1.54,1,0,48.54,0
0.26,25.16,0.89,0.51,1,0,54.95,1
0.78,-12.68,0.0,1.68,1,0,51.14,1
0.26,-27.01,0.26,1.04,0,0,39.51,1
-0.13,64.26,1.92,0.39,0,1,39.02,1
-1.66,-57.62,0.9,0.13,0,0,41.25,0
1.03,0.21,0.0,1.53,0,0,46.59,0
0.0,12.09,1.53,0.39,0,0,32.1,1
1.44,17.33,0.39,2.33,1,0,32.5,0
0.93,-10.58,0.52,1.83,0,0,26.14,1
-0.26,-22.5,0.53,1.98,0,0,25.84,1
1.88,7.73,0.0,2.64,1,0,29.07,0
4.35,-27.7,0.53,3.76,0,0,28.74,1
-1.38,82.02,3.52,1.12,0,0,23.15,1
0.0,28.31,0.96,1.24,0,0,23.85,0
-1.9,3.53,2.43,0.41,0,1,24.3,0
-1.47,-19.76,1.86,0.14,0,1,33.61,0
-0.66,-28.95,1.84,0.94,0,0,41.13,0
0.53,-19.91,0.92,1.06,1,0,44.09,0
5.2,130.09,0.4,2.54,1,0,42.31,1
1.42,17.84,0.28,1.54,0,0,27.27,1
-0.71,-8.0,1.13,0.0,0,1,26.92,1
-0.84,0.99,1.26,0.14,0,1,29.19,0
-0.14,-12.09,0.97,0.0,0,0,33.97,0
1.13,23.13,0.7,0.7,1,0,36.0,0
1.0,-12.2,0.42,0.99,0,0,33.33,1
-0.43,21.94,0.14,0.43,0,1,34.9,1
-0.43,-15.57,0.99,0.0,0,1,45.45,0
-0.14,0.34,0.7,0.57,0,0,42.11,0
0.57,-12.2,0.0,1.13,0,0,42.61,0
-0.57,7.18,1.96,0.0,0,0,33.33,1
0.28,-7.45,1.4,0.14,0,0,28.57,0
-1.54,-24.04,1.81,0.43,0,0,24.21,1
2.29,46.15,0.97,1.12,1,0,33.33,0
0.14,-32.4,0.99,0.0,0,0,41.98,1
-1.27,-17.58,2.51,0.14,0,0,47.22,1
0.86,100.53,2.08,1.7,0,0,50.0,0
-1.41,-2.21,1.27,0.14,0,0,42.11,1
